Ethnicity,Gender,Derived Residency,College,Headcounts,Academic_Yr,('Applied')
African American,Decline to State,CA Resident,Clg of Chemistry,1,2012-13,(Applied)
African American,Decline to State,CA Resident,Clg of Chemistry,2,2013-14,(Applied)
African American,Decline to State,CA Resident,Clg of Chemistry,1,2015-16,(Applied)
African American,Decline to State,CA Resident,Clg of Engineering,1,2001-02,(Applied)
African American,Decline to State,CA Resident,Clg of Engineering,1,2002-03,(Applied)
African American,Decline to State,CA Resident,Clg of Engineering,1,2012-13,(Applied)
African American,Decline to State,CA Resident,Clg of Engineering,3,2013-14,(Applied)
African American,Decline to State,CA Resident,Clg of Engineering,3,2015-16,(Applied)
African American,Decline to State,CA Resident,Clg of Environmental Design,1,2006-07,(Applied)
African American,Decline to State,CA Resident,Clg of Environmental Design,1,2013-14,(Applied)
African American,Decline to State,CA Resident,Clg of Letters & Science,5,1998-99,(Applied)
African American,Decline to State,CA Resident,Clg of Letters & Science,1,1999-00,(Applied)
African American,Decline to State,CA Resident,Clg of Letters & Science,2,2001-02,(Applied)
African American,Decline to State,CA Resident,Clg of Letters & Science,1,2003-04,(Applied)
African American,Decline to State,CA Resident,Clg of Letters & Science,1,2005-06,(Applied)
African American,Decline to State,CA Resident,Clg of Letters & Science,1,2008-09,(Applied)
African American,Decline to State,CA Resident,Clg of Letters & Science,1,2009-10,(Applied)
African American,Decline to State,CA Resident,Clg of Letters & Science,4,2010-11,(Applied)
African American,Decline to State,CA Resident,Clg of Letters & Science,6,2011-12,(Applied)
African American,Decline to State,CA Resident,Clg of Letters & Science,4,2012-13,(Applied)
African American,Decline to State,CA Resident,Clg of Letters & Science,6,2013-14,(Applied)
African American,Decline to State,CA Resident,Clg of Letters & Science,6,2014-15,(Applied)
African American,Decline to State,CA Resident,Clg of Letters & Science,14,2015-16,(Applied)
African American,Decline to State,CA Resident,Clg of Natural Resources,1,1998-99,(Applied)
African American,Decline to State,CA Resident,Clg of Natural Resources,1,2007-08,(Applied)
African American,Decline to State,CA Resident,Clg of Natural Resources,3,2010-11,(Applied)
African American,Decline to State,CA Resident,Clg of Natural Resources,1,2012-13,(Applied)
African American,Decline to State,CA Resident,Clg of Natural Resources,2,2013-14,(Applied)
African American,Decline to State,CA Resident,Clg of Natural Resources,1,2015-16,(Applied)
African American,Decline to State,Out of State Domestic,Clg of Engineering,1,2010-11,(Applied)
African American,Decline to State,Out of State Domestic,Clg of Engineering,1,2013-14,(Applied)
African American,Decline to State,Out of State Domestic,Clg of Engineering,3,2014-15,(Applied)
African American,Decline to State,Out of State Domestic,Clg of Engineering,1,2015-16,(Applied)
African American,Decline to State,Out of State Domestic,Clg of Environmental Design,1,2015-16,(Applied)
African American,Decline to State,Out of State Domestic,Clg of Letters & Science,1,2010-11,(Applied)
African American,Decline to State,Out of State Domestic,Clg of Letters & Science,1,2011-12,(Applied)
African American,Decline to State,Out of State Domestic,Clg of Letters & Science,1,2012-13,(Applied)
African American,Decline to State,Out of State Domestic,Clg of Letters & Science,5,2013-14,(Applied)
African American,Decline to State,Out of State Domestic,Clg of Letters & Science,2,2014-15,(Applied)
African American,Decline to State,Out of State Domestic,Clg of Letters & Science,6,2015-16,(Applied)
African American,Decline to State,Out of State Domestic,Clg of Natural Resources,1,2015-16,(Applied)
African American,Female,CA Resident,Clg of Chemistry,16,1996-97,(Applied)
African American,Female,CA Resident,Clg of Chemistry,14,1997-98,(Applied)
African American,Female,CA Resident,Clg of Chemistry,14,1998-99,(Applied)
African American,Female,CA Resident,Clg of Chemistry,16,1999-00,(Applied)
African American,Female,CA Resident,Clg of Chemistry,16,2000-01,(Applied)
African American,Female,CA Resident,Clg of Chemistry,13,2001-02,(Applied)
African American,Female,CA Resident,Clg of Chemistry,20,2002-03,(Applied)
African American,Female,CA Resident,Clg of Chemistry,18,2003-04,(Applied)
African American,Female,CA Resident,Clg of Chemistry,23,2004-05,(Applied)
African American,Female,CA Resident,Clg of Chemistry,35,2005-06,(Applied)
African American,Female,CA Resident,Clg of Chemistry,48,2006-07,(Applied)
African American,Female,CA Resident,Clg of Chemistry,52,2007-08,(Applied)
African American,Female,CA Resident,Clg of Chemistry,55,2008-09,(Applied)
African American,Female,CA Resident,Clg of Chemistry,54,2009-10,(Applied)
African American,Female,CA Resident,Clg of Chemistry,67,2010-11,(Applied)
African American,Female,CA Resident,Clg of Chemistry,64,2011-12,(Applied)
African American,Female,CA Resident,Clg of Chemistry,69,2012-13,(Applied)
African American,Female,CA Resident,Clg of Chemistry,80,2013-14,(Applied)
