Ethnicity,Gender,Derived Residency,College,Headcounts,Academic_Yr,('SIRed')
African American,Decline to State,CA Resident,Clg of Chemistry,,2012-13,(SIRed)
African American,Decline to State,CA Resident,Clg of Chemistry,,2013-14,(SIRed)
African American,Decline to State,CA Resident,Clg of Chemistry,,2015-16,(SIRed)
African American,Decline to State,CA Resident,Clg of Engineering,,2001-02,(SIRed)
African American,Decline to State,CA Resident,Clg of Engineering,,2002-03,(SIRed)
African American,Decline to State,CA Resident,Clg of Engineering,,2012-13,(SIRed)
African American,Decline to State,CA Resident,Clg of Engineering,,2013-14,(SIRed)
African American,Decline to State,CA Resident,Clg of Engineering,,2015-16,(SIRed)
African American,Decline to State,CA Resident,Clg of Environmental Design,,2006-07,(SIRed)
African American,Decline to State,CA Resident,Clg of Environmental Design,,2013-14,(SIRed)
African American,Decline to State,CA Resident,Clg of Letters & Science,1,1998-99,(SIRed)
African American,Decline to State,CA Resident,Clg of Letters & Science,,1999-00,(SIRed)
African American,Decline to State,CA Resident,Clg of Letters & Science,,2001-02,(SIRed)
African American,Decline to State,CA Resident,Clg of Letters & Science,,2003-04,(SIRed)
African American,Decline to State,CA Resident,Clg of Letters & Science,,2005-06,(SIRed)
African American,Decline to State,CA Resident,Clg of Letters & Science,,2008-09,(SIRed)
African American,Decline to State,CA Resident,Clg of Letters & Science,,2009-10,(SIRed)
African American,Decline to State,CA Resident,Clg of Letters & Science,,2010-11,(SIRed)
African American,Decline to State,CA Resident,Clg of Letters & Science,,2011-12,(SIRed)
African American,Decline to State,CA Resident,Clg of Letters & Science,,2012-13,(SIRed)
African American,Decline to State,CA Resident,Clg of Letters & Science,,2013-14,(SIRed)
African American,Decline to State,CA Resident,Clg of Letters & Science,,2014-15,(SIRed)
African American,Decline to State,CA Resident,Clg of Letters & Science,,2015-16,(SIRed)
African American,Decline to State,CA Resident,Clg of Natural Resources,,1998-99,(SIRed)
African American,Decline to State,CA Resident,Clg of Natural Resources,,2007-08,(SIRed)
African American,Decline to State,CA Resident,Clg of Natural Resources,,2010-11,(SIRed)
African American,Decline to State,CA Resident,Clg of Natural Resources,,2012-13,(SIRed)
African American,Decline to State,CA Resident,Clg of Natural Resources,,2013-14,(SIRed)
African American,Decline to State,CA Resident,Clg of Natural Resources,,2015-16,(SIRed)
African American,Decline to State,Out of State Domestic,Clg of Engineering,,2010-11,(SIRed)
African American,Decline to State,Out of State Domestic,Clg of Engineering,,2013-14,(SIRed)
African American,Decline to State,Out of State Domestic,Clg of Engineering,,2014-15,(SIRed)
African American,Decline to State,Out of State Domestic,Clg of Engineering,,2015-16,(SIRed)
African American,Decline to State,Out of State Domestic,Clg of Environmental Design,,2015-16,(SIRed)
African American,Decline to State,Out of State Domestic,Clg of Letters & Science,,2010-11,(SIRed)
African American,Decline to State,Out of State Domestic,Clg of Letters & Science,,2011-12,(SIRed)
African American,Decline to State,Out of State Domestic,Clg of Letters & Science,,2012-13,(SIRed)
African American,Decline to State,Out of State Domestic,Clg of Letters & Science,,2013-14,(SIRed)
